MaxBHP,MinBHP,AvgBHP,MaxGOR,MinGOR,AvgGOR,MaxWaterCut,MinWaterCut,AvgWaterCut,MaxOilRate,MinOilRate,AvgOilRate,TotalOilProduction,TotalGasProduction,TotalWaterProduction,ActiveTime,NearestWellDistance,X,Y,Permeability,Porosity,h,TopDepth
0.34311302,0.029751646,0.432369371,0.061772645,0.020858141,0.037131209,0.202857545,0.170340143,0.188119804,0.205644396,0.017257896,0.28239097,0.177447848,0.224395834,0.227516216,0.313435464,0.154032258,0.207881612,0.452587179,0.004643065,0.334124776,0.567121852,0.355762411
0.044659121,0.029751646,0.354451729,0.119321177,0.014840948,0.08444411,0.095717739,0.014697525,0.073470352,0.392930839,0.003005985,0.459184297,0.306719738,0.57233831,0.237529297,0.326818102,0.150687378,0.439240714,0.436984615,0.028339457,0.468340367,0.6162988,0.076471631
0.337133533,0.029751646,0.556158084,0.078312207,0.020103627,0.043846942,0.185097912,0.150129486,0.1445092,0.178692117,0.024560757,0.265897069,0.159125711,0.228840148,0.193722266,0.300052826,0.260234744,0.215732598,0.389596923,0.038272242,0.466665551,0.574007098,0.352654255
0.727616229,0.692384666,0.818608063,0.00783619,0.025246902,0.009599692,0.069870964,0.345214553,0.172971643,0.108749497,0.00272738,0.101650152,0.019217428,0.01156424,0.031556978,0.074837119,0.281838821,0.876760949,0.436993846,0.032336439,0.280899424,0.467635626,0.750223404
0.509177943,0.029751646,0.567254295,0.03258459,0.022473279,0.022488801,0.271286426,0.253879726,0.288573405,0.190628141,0.003388995,0.279562764,0.1513688,0.145153993,0.255026275,0.262458179,0.219915478,0.322087326,0.646006154,0.046040376,0.336436471,0.560588136,0.524822695
0.759687527,0.350020302,0.821127718,0.036586098,0.026788048,0.018830881,0.054517525,0.339530463,0.189552994,0.10372013,0.001305006,0.150817745,0.032669645,0.032839692,0.061261528,0.088307801,0.451160455,0.876648292,0.385675897,0.01663401,0.229027701,0.342572249,0.790163121
0.716082813,0.010948166,0.663159648,0.101739556,0.031072643,0.067966091,0.212778331,0.288814093,0.328094779,0.1316695,2.13E-05,0.149641187,0.057978075,0.097948532,0.152475761,0.190174326,0.291911155,0.220487159,0.693384615,0.042614391,0.268426637,0.352668582,0.745498227
0.218291916,0.013648663,0.46865665,0.045643755,0.020011094,0.024589792,0.134936207,0.1247468,0.125285272,0.268841465,0.108131291,0.327107729,0.213535129,0.233902936,0.233996579,0.321623525,0.271871169,0.656821543,0.380582051,0.021772987,0.167736113,0.646384992,0.23904078
0.171711011,0.01427212,0.419340365,0.155384695,0.018650657,0.102381482,0.119711525,0.089134667,0.124180909,0.192701592,0.006124878,0.237441648,0.149884452,0.336641549,0.159524554,0.311322416,0.175692465,0.558473334,0.541939487,0.030623446,0.477484962,0.66184215,0.195765957
0.05445236,0.015208267,0.389175166,0.124478179,0.017051721,0.084054835,0.118061266,0.034343983,0.095808536,0.299251066,0.034184035,0.414668572,0.248184788,0.476628388,0.224443534,0.302694136,0.073311594,0.422037013,0.395324103,0.030337948,0.42320989,0.628244043,0.081725177
0.365472396,0.029472942,0.522572503,0.080657272,0.020395864,0.050134295,0.232518213,0.188730469,0.209332774,0.168435198,0.002642389,0.236348689,0.134927487,0.197419511,0.205877371,0.284116922,0.145276308,0.233720523,0.538722564,0.00806905,0.462226217,0.699171878,0.361702128
0.532992888,0.029751646,0.654008351,0.109653428,0.014399126,0.054303676,0.117145251,0.256719739,0.246750599,0.061744251,0.010603444,0.069314137,0.005428764,0.010140443,0.011367618,0.018665258,0.211673967,0.876783917,0.539609231,0.006927055,0.25142873,0.322142978,0.576684397
0.064822947,0.027045593,0.416893823,0.199644245,0.025357213,0.144408691,0.135020364,0.094478394,0.123577595,0.37519447,0.062408207,0.519130838,0.304747651,0.824798429,0.370673036,0.30014087,0.039278029,0.666232445,0.641770256,0.032336439,0.483678919,0.890076052,0.066703901
0.394312712,0.003094876,0.52689802,0.126402054,0.019820794,0.083427543,0.206636924,0.192969761,0.232490656,0.281304255,0.006740849,0.284010256,0.160352744,0.311413204,0.278355503,0.286406057,0.127894758,0.439219933,0.693408205,0.032621937,0.37290743,0.656920737,0.40070922
0.481462508,0.004963546,0.532258851,0.094277546,0.02433665,0.056544473,0.27451189,0.258085343,0.312472353,0.159939155,0.024535498,0.216826185,0.113457538,0.182287303,0.200946775,0.251716852,0.164707379,0.220456534,0.590839487,0.004072068,0.368070967,0.528477269,0.491134752
0,0.029751646,0.404566482,0.218454768,0.022066814,0.137489127,0.174562714,0.04773887,0.097873601,0.255191272,0.026860393,0.311611029,0.195978704,0.56940045,0.182342692,0.316605036,0.293808482,0.658300521,0.590891795,0.040044903,0.49446009,0.763173906,0.012833333
